Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
0,59197,63.50,20.778
0,49903,55.50,18.160
0,50583,63.50,20.778
0,44140,11.00,3.708
0,30253,63.50,20.778
0,47289,63.50,20.778
10,59197,63.50,20.778
10,49903,55.50,18.160
10,50583,63.50,20.778
10,44140,11.00,3.708
10,30253,63.50,20.778
10,47289,63.50,20.778
20,59197,63.50,20.778
20,49903,55.50,18.160
20,50583,63.50,20.778
20,44140,11.00,3.708
20,30253,63.50,20.778
20,47289,63.50,20.778
30,59197,63.50,20.778
30,49903,55.50,18.160
30,50583,63.50,20.778
30,44140,11.00,3.708
30,30253,63.50,20.778
30,47289,63.50,20.778
40,59197,63.50,20.778
40,49903,55.50,18.160
40,50583,63.50,20.778
40,44140,11.00,3.708
40,30253,63.50,20.778
40,47289,63.50,20.778
50,59197,63.50,20.778
50,49903,55.50,18.160
50,50583,63.50,20.778
50,44140,11.00,3.708
50,30253,63.50,20.778
50,47289,63.50,20.778
60,59197,63.50,20.778
60,49903,55.50,18.160
60,50583,63.50,20.778
60,44140,11.00,3.708
60,30253,63.50,20.778
60,47289,63.50,20.778
70,59197,63.50,20.778
70,49903,55.50,18.160
70,50583,63.50,20.778
70,44140,11.00,3.708
70,30253,63.50,20.778
70,47289,63.50,20.778
80,59197,63.50,20.778
80,49903,55.50,18.160
80,50583,63.50,20.778
80,44140,11.00,3.708
80,30253,63.50,20.778
80,47289,63.50,20.778
90,59197,63.50,20.778
90,49903,55.50,18.160
90,50583,63.50,20.778
90,44140,11.00,3.708
90,30253,63.50,20.778
90,47289,63.50,20.778
100,59197,63.50,20.778
100,49903,55.50,18.160
100,50583,63.50,20.778
100,44140,11.00,3.708
100,30253,63.50,20.778
100,47289,63.50,20.778
110,59197,63.50,20.778
110,49903,55.50,18.160
110,50583,63.50,20.778
110,44140,11.00,3.708
110,30253,63.50,20.778
110,47289,63.50,20.778
120,59197,63.50,20.778
120,49903,55.50,18.160
120,50583,63.50,20.778
120,44140,11.00,3.708
120,30253,63.50,20.778
120,47289,63.50,20.778
130,59197,63.50,20.778
130,49903,55.50,18.160
130,50583,63.50,20.778
130,44140,11.00,3.708
130,30253,63.50,20.778
130,47289,63.50,20.778
140,59197,63.50,20.778
140,49903,55.50,18.160
140,50583,63.50,20.778
140,44140,11.00,3.708
140,30253,63.50,20.778
140,47289,63.50,20.778
150,59197,63.50,20.778
150,49903,55.50,18.160
150,50583,63.50,20.778
150,44140,11.00,3.708
150,30253,63.50,20.778
150,47289,63.50,20.778
160,59197,63.50,20.778
160,49903,55.50,18.160
160,50583,63.50,20.778
160,44140,11.00,3.708
160,30253,63.50,20.778
160,47289,63.50,20.778
170,59197,63.50,20.778
170,49903,55.50,18.160
170,50583,63.50,20.778
170,44140,11.00,3.708
170,30253,63.50,20.778
170,47289,63.50,20.778
180,59197,63.50,20.778
180,49903,55.50,18.160
180,50583,63.50,20.778
180,44140,11.00,3.708
180,30253,63.50,20.778
180,47289,63.50,20.778
190,59197,63.50,20.778
190,49903,55.50,18.160
190,50583,63.50,20.778
190,44140,11.00,3.708
190,30253,63.50,20.778
190,47289,63.50,20.778
200,59197,63.50,20.778
200,49903,55.50,18.160
200,50583,63.50,20.778
200,44140,11.00,3.708
200,30253,63.50,20.778
200,47289,63.50,20.778
