Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
0,32893,63.50,20.778
2,16233,63.50,20.778
10,32893,63.50,20.778
12,16233,63.50,20.778
20,32893,63.50,20.778
22,16233,63.50,20.778
30,32893,63.50,20.778
32,16233,63.50,20.778
40,32893,63.50,20.778
42,16233,63.50,20.778
50,32893,63.50,20.778
52,16233,63.50,20.778
61,32893,63.50,20.778
62,16233,63.50,20.778
70,32893,63.50,20.778
72,16233,63.50,20.778
80,32893,63.50,20.778
82,16233,63.50,20.778
90,32893,63.50,20.778
92,16233,63.50,20.778
100,32893,63.50,20.778
102,16233,63.50,20.778
110,32893,63.50,20.778
112,16233,63.50,20.778
120,32893,63.50,20.778
123,16233,63.50,20.778
131,32893,63.50,20.778
132,16233,63.50,20.778
141,32893,63.50,20.778
143,16233,63.50,20.778
151,32893,63.50,20.778
152,16233,63.50,20.778
161,32893,63.50,20.778
162,16233,63.50,20.778
170,32893,63.50,20.778
172,16233,63.50,20.778
180,32893,63.50,20.778
182,16233,63.50,20.778
190,32893,63.50,20.778
192,16233,63.50,20.778
201,32893,63.50,20.778
202,16233,63.50,20.778
210,32893,63.50,20.778
213,16233,63.50,20.778
221,32893,63.50,20.778
222,16233,63.50,20.778
231,32893,63.50,20.778
232,16233,63.50,20.778
240,32893,63.50,20.778
242,16233,63.50,20.778
250,32893,63.50,20.778
252,16233,63.50,20.778
260,32893,63.50,20.778
262,16233,63.50,20.778
270,32893,63.50,20.778
272,16233,63.50,20.778
280,32893,63.50,20.778
282,16233,63.50,20.778
291,32893,63.50,20.778
292,16233,63.50,20.778
300,32893,63.50,20.778
302,16233,63.50,20.778
311,32893,63.50,20.778
312,16233,63.50,20.778
321,32893,63.50,20.778
323,16233,63.50,20.778
330,32893,63.50,20.778
332,16233,63.50,20.778
341,32893,63.50,20.778
342,16233,63.50,20.778
351,32893,63.50,20.778
352,16233,63.50,20.778
360,32893,63.50,20.778
362,16233,63.50,20.778
371,32893,63.50,20.778
372,16233,63.50,20.778
381,32893,63.50,20.778
383,16233,63.50,20.778
392,32893,63.50,20.778
392,16233,63.50,20.778
401,32893,63.50,20.778
402,16233,63.50,20.778
410,32893,63.50,20.778
412,16233,63.50,20.778
420,32893,63.50,20.778
422,16233,63.50,20.778
431,32893,63.50,20.778
432,16233,63.50,20.778
440,32893,63.50,20.778
442,16233,63.50,20.778
450,32893,63.50,20.778
452,16233,63.50,20.778
461,32893,63.50,20.778
463,16233,63.50,20.778
470,32893,63.50,20.778
472,16233,63.50,20.778
480,32893,63.50,20.778
482,16233,63.50,20.778
490,32893,63.50,20.778
492,16233,63.50,20.778
500,32893,63.50,20.778
502,16233,63.50,20.778
510,32893,63.50,20.778
513,16233,63.50,20.778
520,32893,63.50,20.778
522,16233,63.50,20.778
530,32893,63.50,20.778
532,16233,63.50,20.778
540,32893,63.50,20.778
542,16233,63.50,20.778
550,32893,63.50,20.778
552,16233,63.50,20.778
560,32893,63.50,20.778
562,16233,63.50,20.778
570,32893,63.50,20.778
572,16233,63.50,20.778
580,32893,63.50,20.778
582,16233,63.50,20.778
590,32893,63.50,20.778
592,16233,63.50,20.778
601,32893,63.50,20.778
602,16233,63.50,20.778
610,32893,63.50,20.778
612,16233,63.50,20.778
620,32893,63.50,20.778
622,16233,63.50,20.778
630,32893,63.50,20.778
633,16233,63.50,20.778
640,32893,63.50,20.778
642,16233,63.50,20.778
651,32893,63.50,20.778
653,16233,63.50,20.778
660,32893,63.50,20.778
662,16233,63.50,20.778
670,32893,63.50,20.778
672,16233,63.50,20.778
680,32893,63.50,20.778
682,16233,63.50,20.778
690,32893,63.50,20.778
692,16233,63.50,20.778
701,32893,63.50,20.778
702,16233,63.50,20.778
710,32893,63.50,20.778
712,16233,63.50,20.778
720,32893,63.50,20.778
722,16233,63.50,20.778
731,32893,63.50,20.778
732,16233,63.50,20.778
741,32893,63.50,20.778
742,16233,63.50,20.778
750,32893,63.50,20.778
752,16233,63.50,20.778
760,32893,63.50,20.778
762,16233,63.50,20.778
771,32893,63.50,20.778
772,16233,63.50,20.778
780,32893,63.50,20.778
782,16233,63.50,20.778
790,32893,63.50,20.778
792,16233,63.50,20.778
801,32893,63.50,20.778
802,16233,63.50,20.778
810,32893,63.50,20.778
812,16233,63.50,20.778
820,32893,63.50,20.778
823,16233,63.50,20.778
831,32893,63.50,20.778
832,16233,63.50,20.778
840,32893,63.50,20.778
842,16233,63.50,20.778
851,32893,63.50,20.778
852,16233,63.50,20.778
861,32893,63.50,20.778
862,16233,63.50,20.778
870,32893,63.50,20.778
872,16233,63.50,20.778
880,32893,63.50,20.778
882,16233,63.50,20.778
891,32893,63.50,20.778
892,16233,63.50,20.778
901,32893,63.50,20.778
902,16233,63.50,20.778
910,32893,63.50,20.778
912,16233,63.50,20.778
920,32893,63.50,20.778
922,16233,63.50,20.778
931,32893,63.50,20.778
932,16233,63.50,20.778
941,32893,63.50,20.778
942,16233,63.50,20.778
951,32893,63.50,20.778
952,16233,63.50,20.778
961,32893,63.50,20.778
963,16233,63.50,20.778
970,32893,63.50,20.778
972,16233,63.50,20.778
982,32893,63.50,20.778
983,16233,63.50,20.778
990,32893,63.50,20.778
992,16233,63.50,20.778
1001,32893,63.50,20.778
1002,16233,63.50,20.778
1010,32893,63.50,20.778
1012,16233,63.50,20.778
1021,32893,63.50,20.778
1022,16233,63.50,20.778
1031,32893,63.50,20.778
1032,16233,63.50,20.778
1040,32893,63.50,20.778
1042,16233,63.50,20.778
1050,32893,63.50,20.778
1053,16233,63.50,20.778
1061,32893,63.50,20.778
1063,16233,63.50,20.778
1070,32893,63.50,20.778
1072,16233,63.50,20.778
1080,32893,63.50,20.778
1082,16233,63.50,20.778
1090,32893,63.50,20.778
1092,16233,63.50,20.778
1100,32893,63.50,20.778
1102,16233,63.50,20.778
1110,32893,63.50,20.778
1112,16233,63.50,20.778
1120,32893,63.50,20.778
1122,16233,63.50,20.778
1130,32893,63.50,20.778
1133,16233,63.50,20.778
1140,32893,63.50,20.778
1142,16233,63.50,20.778
1150,32893,63.50,20.778
1152,16233,63.50,20.778
1161,32893,63.50,20.778
1163,16233,63.50,20.778
1171,32893,63.50,20.778
1172,16233,63.50,20.778
1180,32893,63.50,20.778
1182,16233,63.50,20.778
1190,32893,63.50,20.778
1192,16233,63.50,20.778
1200,32893,63.50,20.778
1202,16233,63.50,20.778
1210,32893,63.50,20.778
1212,16233,63.50,20.778
1220,32893,63.50,20.778
1222,16233,63.50,20.778
1231,32893,63.50,20.778
1232,16233,63.50,20.778
1241,32893,63.50,20.778
1243,16233,63.50,20.778
1250,32893,63.50,20.778
1252,16233,63.50,20.778
1261,32893,63.50,20.778
1262,16233,63.50,20.778
1271,32893,63.50,20.778
1273,16233,63.50,20.778
1281,32893,63.50,20.778
1282,16233,63.50,20.778
1291,32893,63.50,20.778
1293,16233,63.50,20.778
1300,32893,63.50,20.778
1302,16233,63.50,20.778
1311,32893,63.50,20.778
1312,16233,63.50,20.778
1321,32893,63.50,20.778
1322,16233,63.50,20.778
1331,32893,63.50,20.778
1332,16233,63.50,20.778
1340,32893,63.50,20.778
1342,16233,63.50,20.778
1350,32893,63.50,20.778
1352,16233,63.50,20.778
1360,32893,63.50,20.778
1363,16233,63.50,20.778
1370,32893,63.50,20.778
1372,16233,63.50,20.778
1380,32893,63.50,20.778
1383,16233,63.50,20.778
1392,32893,63.50,20.778
1392,16233,63.50,20.778
1401,32893,63.50,20.778
1402,16233,63.50,20.778
1410,32893,63.50,20.778
1412,16233,63.50,20.778
1420,32893,63.50,20.778
1422,16233,63.50,20.778
1430,32893,63.50,20.778
1432,16233,63.50,20.778
1440,32893,63.50,20.778
1442,16233,63.50,20.778
1450,32893,63.50,20.778
1452,16233,63.50,20.778
1460,32893,63.50,20.778
1462,16233,63.50,20.778
1470,32893,63.50,20.778
1472,16233,63.50,20.778
1480,32893,63.50,20.778
1482,16233,63.50,20.778
1491,32893,63.50,20.778
1492,16233,63.50,20.778
1500,32893,63.50,20.778
1502,16233,63.50,20.778
1510,32893,63.50,20.778
1512,16233,63.50,20.778
1520,32893,63.50,20.778
1522,16233,63.50,20.778
1530,32893,63.50,20.778
1532,16233,63.50,20.778
1541,32893,63.50,20.778
1542,16233,63.50,20.778
1550,32893,63.50,20.778
1552,16233,63.50,20.778
1560,32893,63.50,20.778
1562,16233,63.50,20.778
1570,32893,63.50,20.778
1572,16233,63.50,20.778
1580,32893,63.50,20.778
1582,16233,63.50,20.778
1590,32893,63.50,20.778
1592,16233,63.50,20.778
1600,32893,63.50,20.778
1602,16233,63.50,20.778
1611,32893,63.50,20.778
1613,16233,63.50,20.778
1621,32893,63.50,20.778
1622,16233,63.50,20.778
1631,32893,63.50,20.778
1632,16233,63.50,20.778
1640,32893,63.50,20.778
1642,16233,63.50,20.778
1650,32893,63.50,20.778
1652,16233,63.50,20.778
1661,32893,63.50,20.778
1662,16233,63.50,20.778
1670,32893,63.50,20.778
1672,16233,63.50,20.778
1680,32893,63.50,20.778
1682,16233,63.50,20.778
1690,32893,63.50,20.778
1692,16233,63.50,20.778
1700,32893,63.50,20.778
1702,16233,63.50,20.778
1710,32893,63.50,20.778
1712,16233,63.50,20.778
1720,32893,63.50,20.778
1722,16233,63.50,20.778
1731,32893,63.50,20.778
1732,16233,63.50,20.778
1740,32893,63.50,20.778
1742,16233,63.50,20.778
1751,32893,63.50,20.778
1752,16233,63.50,20.778
1760,32893,63.50,20.778
1762,16233,63.50,20.778
1770,32893,63.50,20.778
1772,16233,63.50,20.778
1781,32893,63.50,20.778
1782,16233,63.50,20.778
1790,32893,63.50,20.778
1792,16233,63.50,20.778
1800,32893,63.50,20.778
1802,16233,63.50,20.778
1810,32893,63.50,20.778
1812,16233,63.50,20.778
1820,32893,63.50,20.778
1822,16233,63.50,20.778
1830,32893,63.50,20.778
1832,16233,63.50,20.778
1841,32893,63.50,20.778
1843,16233,63.50,20.778
1850,32893,63.50,20.778
1852,16233,63.50,20.778
1860,32893,63.50,20.778
1862,16233,63.50,20.778
1870,32893,63.50,20.778
1872,16233,63.50,20.778
1880,32893,63.50,20.778
1882,16233,63.50,20.778
1890,32893,63.50,20.778
1892,16233,63.50,20.778
1900,32893,63.50,20.778
1902,16233,63.50,20.778
1910,32893,63.50,20.778
1912,16233,63.50,20.778
1920,32893,63.50,20.778
1922,16233,63.50,20.778
1930,32893,63.50,20.778
1932,16233,63.50,20.778
1940,32893,63.50,20.778
1942,16233,63.50,20.778
1951,32893,63.50,20.778
1952,16233,63.50,20.778
1960,32893,63.50,20.778
1962,16233,63.50,20.778
1970,32893,63.50,20.778
1972,16233,63.50,20.778
1980,32893,63.50,20.778
1982,16233,63.50,20.778
1990,32893,63.50,20.778
1992,16233,63.50,20.778
2000,32893,63.50,20.778
2002,16233,63.50,20.778
2010,32893,63.50,20.778
2012,16233,63.50,20.778
2020,32893,63.50,20.778
2022,16233,63.50,20.778
2030,32893,63.50,20.778
2032,16233,63.50,20.778
2040,32893,63.50,20.778
2043,16233,63.50,20.778
2050,32893,63.50,20.778
2052,16233,63.50,20.778
2060,32893,63.50,20.778
2062,16233,63.50,20.778
2070,32893,63.50,20.778
2072,16233,63.50,20.778
2080,32893,63.50,20.778
2082,16233,63.50,20.778
2090,32893,63.50,20.778
2092,16233,63.50,20.778
2100,32893,63.50,20.778
2102,16233,63.50,20.778
2110,32893,63.50,20.778
2112,16233,63.50,20.778
2120,32893,63.50,20.778
2122,16233,63.50,20.778
2130,32893,63.50,20.778
2132,16233,63.50,20.778
2140,32893,63.50,20.778
2142,16233,63.50,20.778
2150,32893,63.50,20.778
2152,16233,63.50,20.778
2160,32893,63.50,20.778
2162,16233,63.50,20.778
2170,32893,63.50,20.778
2172,16233,63.50,20.778
2181,32893,63.50,20.778
2182,16233,63.50,20.778
2190,32893,63.50,20.778
2192,16233,63.50,20.778
2200,32893,63.50,20.778
2202,16233,63.50,20.778
2210,32893,63.50,20.778
2212,16233,63.50,20.778
2220,32893,63.50,20.778
2222,16233,63.50,20.778
2231,32893,63.50,20.778
2233,16233,63.50,20.778
2241,32893,63.50,20.778
2242,16233,63.50,20.778
2250,32893,63.50,20.778
2252,16233,63.50,20.778
2260,32893,63.50,20.778
2262,16233,63.50,20.778
2270,32893,63.50,20.778
2272,16233,63.50,20.778
2280,32893,63.50,20.778
2282,16233,63.50,20.778
2291,32893,63.50,20.778
2293,16233,63.50,20.778
2300,32893,63.50,20.778
2302,16233,63.50,20.778
2310,32893,63.50,20.778
2312,16233,63.50,20.778
2321,32893,63.50,20.778
2322,16233,63.50,20.778
2330,32893,63.50,20.778
2332,16233,63.50,20.778
2340,32893,59.00,19.305
2342,16233,63.50,20.778
2350,32893,59.00,19.305
2352,16233,63.50,20.778
2360,32893,59.00,19.305
2362,16233,63.50,20.778
2370,32893,59.00,19.305
2372,16233,63.50,20.778
2380,32893,59.00,19.305
2382,16233,63.50,20.778
2390,32893,59.00,19.305
2393,16233,63.50,20.778
2400,32893,59.00,19.305
2402,16233,63.50,20.778
2410,32893,59.00,19.305
2412,16233,63.50,20.778
2420,32893,59.00,19.305
2422,16233,63.50,20.778
2430,32893,59.00,19.305
2432,16233,63.50,20.778
2440,32893,59.00,19.305
2442,16233,63.50,20.778
2450,32893,59.00,19.305
2452,16233,63.50,20.778
2460,32893,59.00,19.305
2462,16233,63.50,20.778
2470,32893,59.00,19.305
2472,16233,63.50,20.778
2481,32893,59.00,19.305
2482,16233,63.50,20.778
2490,32893,59.00,19.305
2492,16233,63.50,20.778
2501,32893,59.00,19.305
2502,16233,63.50,20.778
2510,32893,59.00,19.305
2512,16233,63.50,20.778
2521,32893,59.00,19.305
2522,16233,63.50,20.778
2530,32893,59.00,19.305
2532,16233,63.50,20.778
2540,32893,59.00,19.305
2543,16233,63.50,20.778
2551,32893,59.00,19.305
2552,16233,63.50,20.778
2560,32893,59.00,19.305
2563,16233,63.50,20.778
2570,32893,59.00,19.305
2572,16233,63.50,20.778
2581,32893,59.00,19.305
2582,16233,63.50,20.778
2590,32893,59.00,19.305
2592,16233,63.50,20.778
2601,32893,59.00,19.305
2602,16233,63.50,20.778
2610,32893,59.00,19.305
2612,16233,63.50,20.778
2621,32893,59.00,19.305
2622,16233,63.50,20.778
2630,32893,59.00,19.305
2632,16233,63.50,20.778
2640,32893,59.00,19.305
2642,16233,63.50,20.778
2650,32893,59.00,19.305
2652,16233,63.50,20.778
2661,32893,59.00,19.305
2662,16233,63.50,20.778
2671,32893,59.00,19.305
2672,16233,63.50,20.778
2681,32893,59.00,19.305
2682,16233,63.50,20.778
2690,32893,59.00,19.305
2692,16233,63.50,20.778
2701,32893,59.00,19.305
2704,16233,63.50,20.778
2711,32893,59.00,19.305
2713,16233,63.50,20.778
2721,32893,59.00,19.305
2722,16233,63.50,20.778
2732,32893,59.00,19.305
2733,16233,63.50,20.778
2741,32893,59.00,19.305
2743,16233,63.50,20.778
2751,32893,59.00,19.305
2752,16233,63.50,20.778
2761,32893,59.00,19.305
2762,16233,63.50,20.778
2771,32893,59.00,19.305
2772,16233,63.50,20.778
2780,32893,59.00,19.305
2782,16233,63.50,20.778
2790,32893,59.00,19.305
2792,16233,63.50,20.778
2801,32893,59.00,19.305
2802,16233,63.50,20.778
2810,32893,59.00,19.305
2812,16233,63.50,20.778
2821,32893,59.00,19.305
2822,16233,63.50,20.778
2831,32893,59.00,19.305
2833,16233,63.50,20.778
2841,32893,59.00,19.305
2842,16233,63.50,20.778
2851,32893,59.00,19.305
2852,16233,63.50,20.778
2860,32893,59.00,19.305
2862,16233,63.50,20.778
2870,32893,59.00,19.305
2872,16233,63.50,20.778
2881,32893,59.00,19.305
2882,16233,63.50,20.778
2890,32893,59.00,19.305
2892,16233,63.50,20.778
2901,32893,59.00,19.305
2902,16233,63.50,20.778
2910,32893,59.00,19.305
2912,16233,63.50,20.778
2921,32893,59.00,19.305
2922,16233,63.50,20.778
2930,32893,59.00,19.305
2932,16233,63.50,20.778
2940,32893,59.00,19.305
2942,16233,63.50,20.778
2950,32893,59.00,19.305
2952,16233,63.50,20.778
2961,32893,59.00,19.305
2962,16233,63.50,20.778
2971,32893,59.00,19.305
2973,16233,63.50,20.778
2981,32893,59.00,19.305
2982,16233,63.50,20.778
2990,32893,59.00,19.305
2992,16233,63.50,20.778
3000,32893,59.00,19.305
3002,16233,63.50,20.778
3010,32893,59.00,19.305
3012,16233,63.50,20.778
3020,32893,59.00,19.305
3022,16233,63.50,20.778
3030,32893,59.00,19.305
3032,16233,63.50,20.778
3041,32893,59.00,19.305
3042,16233,63.50,20.778
3050,32893,59.00,19.305
3052,16233,63.50,20.778
3061,32893,59.00,19.305
3062,16233,63.50,20.778
3070,32893,59.00,19.305
3072,16233,63.50,20.778
3081,32893,59.00,19.305
3082,16233,63.50,20.778
3090,32893,59.00,19.305
3092,16233,63.50,20.778
3101,32893,59.00,19.305
3102,16233,63.50,20.778
3110,32893,59.00,19.305
3112,16233,63.50,20.778
3121,32893,59.00,19.305
3122,16233,63.50,20.778
3130,32893,59.00,19.305
3132,16233,63.50,20.778
3141,32893,59.00,19.305
3142,16233,63.50,20.778
3150,32893,59.00,19.305
3152,16233,63.50,20.778
3161,32893,59.00,19.305
3162,16233,63.50,20.778
3171,32893,59.00,19.305
3172,16233,63.50,20.778
3181,32893,59.00,19.305
3182,16233,63.50,20.778
3191,32893,59.00,19.305
3193,16233,63.50,20.778
3200,32893,59.00,19.305
3202,16233,63.50,20.778
3210,32893,59.00,19.305
3212,16233,63.50,20.778
3221,32893,59.00,19.305
3222,16233,63.50,20.778
3230,32893,59.00,19.305
3232,16233,63.50,20.778
3241,32893,59.00,19.305
3242,16233,63.50,20.778
3250,32893,59.00,19.305
